# Performance Monitoring Events for Intel Xeon Processors Based on the Skylake Microarchitecture - V1.01
# 8/11/2017 11:12:12 AM
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
BitName	BitIndex	Type	Description	MATRIX_REG	BitsNotCombinedWith	Errata
DEMAND_DATA_RD	0	1	Counts demand data reads	0,1	null	null
DEMAND_RFO	1	1	Counts all demand data writes (RFOs)	0,1	null	null
DEMAND_CODE_RD	2	1	Counts all demand code reads	0,1	null	null
PF_L2_DATA_RD	4	1	Counts prefetch (that bring data to L2) data reads	0,1	null	null
PF_L2_RFO	5	1	Counts all prefetch (that bring data to L2) RFOs	0,1	null	null
PF_L3_DATA_RD	7	1	Counts all prefetch (that bring data to LLC only) data reads	0,1	null	null
PF_L3_RFO	8	1	Counts all prefetch (that bring data to LLC only) RFOs	0,1	null	null
PF_L1D_AND_SW	10	1	Counts L1 data cache hardware prefetch requests and software prefetch requests	0,1	null	null
OTHER	15	1	Counts any other requests	0,1	null	null
ALL_PF_DATA_RD	4,7,10	1	TBD	0,1	null	null
ALL_PF_RFO	5,8	1	TBD	0,1	null	null
ALL_DATA_RD	0,4,7,10	1	TBD	0,1	null	null
ALL_RFO	1,5,8	1	TBD	0,1	null	null
ANY_RESPONSE	16	2	have any response type.	0,1	null	null
SUPPLIER_NONE	17	3		0,1	null	null
L3_HIT_M	18	3		0,1	null	null
L3_HIT_E	19	3		0,1	null	null
L3_HIT_S	20	3		0,1	null	null
L3_HIT_F	21	3		0,1	null	null
L3_HIT	18,19,20,21	3	TBD	0,1	null	null
L3_MISS_LOCAL_DRAM	26	3		0,1	null	null
L3_MISS_REMOTE_HOP1_DRAM	28	3		0,1	null	null
L3_MISS	26,27,28,29	3	TBD	0,1	null	null
SNOOP_NONE	31	4		0,1	null	null
NO_SNOOP_NEEDED	32	4	TBD	0,1	null	null
SNOOP_MISS	33	4		0,1	null	null
HIT_OTHER_CORE_NO_FWD	34	4	TBD	0,1	null	null
HIT_OTHER_CORE_FWD	35	4	TBD	0,1	18,19,20,21	null
HITM_OTHER_CORE	36	4	TBD	0,1	null	null
ANY_SNOOP	31,32,33,34,35,36,37	4	TBD	0,1	null	null
