# Performance Monitoring Events for the Sixth Generation Intel Core Processors Based on the Skylake Microarchitecture - V37
# 12/20/2017 3:56:41 PM
# Copyright (c) 2007 - 2017 Intel Corporation. All rights reserved.
EventCode	UMask	EventName	BriefDescription	Counter	CounterHTOff	SampleAfterValue	MSRIndex	MSRValue	TakenAlone	CounterMask	Invert	AnyThread	EdgeDetect	PEBS	Data_LA	L1_Hit_Indication	Errata	Deprecated
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.ANY_SNOOP	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3ffc000001 	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.SNOOP_HITM	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x103c000001 	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.SNOOP_HIT_NO_FWD	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x043c000001 	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.SNOOP_MISS	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x023c000001 	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.SNOOP_NOT_NEEDED	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x013c000001 	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS.SNOOP_NONE	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x00bc000001 	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_LOCAL_DRAM.ANY_SNOOP	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x3fc4000001 	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_LOCAL_DRAM.SNOOP_HITM	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x1004000001 	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_LOCAL_DRAM.SNOOP_HIT_NO_FWD	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0404000001 	0	0	0	0	0	0	0	0	null	0
0xB7, 0xBB	0x01	OFFCORE_RESPONSE.DEMAND_DATA_RD.L3_MISS_LOCAL_DRAM.SNOOP_MISS	tbd	0,1,2,3	0,1,2,3	100003	0x1a6,0x1a7	0x0204000001 	0	0	0	0	0	0	0	0	null	0
